time, Quad.Est.E.Pos, Quad.Est.S.Z
3.984894,0.057483,0.439912
3.989893,0.058238,0.440150
3.994893,0.059392,0.440508
3.999892,0.060188,0.440747
4.004892,0.039700,0.438286
4.009892,0.040281,0.438513
4.014892,0.041130,0.438855
4.019891,0.041712,0.439084
4.024891,0.042635,0.439428
4.029891,0.043281,0.439658
4.034890,0.044287,0.440003
4.039890,0.044976,0.440234
4.044889,0.046056,0.440582
4.049889,0.046790,0.440814
4.054889,0.047909,0.441163
4.059888,0.048679,0.441396
4.064888,0.049847,0.441746
4.069888,0.050637,0.441981
4.074887,0.051818,0.442333
4.079887,0.052621,0.442569
4.084887,0.053855,0.442923
4.089886,0.054663,0.443159
4.094886,0.055968,0.443515
4.099885,0.056858,0.443753
4.104885,0.078822,0.441300
4.109885,0.079130,0.441526
4.114884,0.079607,0.441867
4.119884,0.079946,0.442094
4.124884,0.080492,0.442436
4.129883,0.080856,0.442664
4.134883,0.081408,0.443008
4.139883,0.081791,0.443237
4.144882,0.082377,0.443583
4.149882,0.082789,0.443813
4.154881,0.083474,0.444160
4.159881,0.083963,0.444392
4.164881,0.084757,0.444741
4.169880,0.085316,0.444974
4.174880,0.086171,0.445324
4.179880,0.086762,0.445558
4.184879,0.087715,0.445911
4.189879,0.088396,0.446146
4.194879,0.089447,0.446500
4.199878,0.090162,0.446736
4.204878,0.067040,0.444291
4.209877,0.067286,0.444516
4.214877,0.067703,0.444855
4.219877,0.067975,0.445081
4.224876,0.068473,0.445421
4.229876,0.068806,0.445648
4.234876,0.069412,0.445989
4.239875,0.069834,0.446218
4.244875,0.070535,0.446561
4.249875,0.071034,0.446790
4.254874,0.071853,0.447135
4.259874,0.072448,0.447366
4.264874,0.073332,0.447713
4.269873,0.073940,0.447944
4.274873,0.074895,0.448293
4.279872,0.075559,0.448525
4.284872,0.076579,0.448876
4.289872,0.077146,0.449109
4.294871,0.078189,0.449461
4.299871,0.078996,0.449696
4.304871,0.046671,0.447260
4.309870,0.047017,0.447484
4.314870,0.047607,0.447820
4.319870,0.048183,0.448045
4.324869,0.048826,0.448383
4.329869,0.049230,0.448609
4.334868,0.050017,0.448948
4.339868,0.050599,0.449175
4.344868,0.051476,0.449517
4.349867,0.052093,0.449745
4.354867,0.053048,0.450088
4.359867,0.053694,0.450317
4.364866,0.054740,0.450662
4.369866,0.055505,0.450892
4.374866,0.056632,0.451238
4.379865,0.057500,0.451470
4.384865,0.058741,0.451818
4.389864,0.059588,0.452051
4.394864,0.060908,0.452401
4.399864,0.061730,0.452634
4.404863,0.026603,0.450206
4.409863,0.026832,0.450429
4.414863,0.027680,0.450763
4.419862,0.028430,0.450987
4.424862,0.029451,0.451323
4.429862,0.030128,0.451547
4.434861,0.031296,0.451885
4.439861,0.032114,0.452111
4.444860,0.033426,0.452450
4.449860,0.034335,0.452677
4.454860,0.035753,0.453018
4.459859,0.036809,0.453246
4.464859,0.038380,0.453589
4.469859,0.039453,0.453818
4.474858,0.041113,0.454162
4.479858,0.042164,0.454393
4.484858,0.043881,0.454739
4.489857,0.044841,0.454970
4.494857,0.046583,0.455318
4.499856,0.047615,0.455550
4.504856,0.037455,0.453131
4.509856,0.038593,0.453352
4.514855,0.040398,0.453684
4.519855,0.041592,0.453907
4.524855,0.043479,0.454241
4.529854,0.044765,0.454464
4.534854,0.046693,0.454800
4.539854,0.047983,0.455024
4.544853,0.049884,0.455362
4.549853,0.051174,0.455588
4.554852,0.053154,0.455927
4.559852,0.054481,0.456153
4.564852,0.056487,0.456494
4.569851,0.057856,0.456722
4.574851,0.059887,0.457065
4.579851,0.061237,0.457293
4.584850,0.063280,0.457638
4.589850,0.064662,0.457868
4.594850,0.066722,0.458214
4.599849,0.068133,0.458445
4.604849,0.038583,0.456034
4.609848,0.039516,0.456254
